pcf_id,ingram_part,description,vendor_name,vendor_part,customer_price,available_qty,category,subcategory,api_status,mayorista,lista,stock_pcf,stock_raw,nombre_pcf,precio_normal,precio_oferta,ficha_vacia,stock_detail,error,solotodo_id,pcf_price,min_price,mode_price,mean_price,categoria
,5744337,Imp Multifuncional HP Smart Tank 520,Hp,1F3W2A#AKH,110.97,11,Impresoras,Multifuncionales Inkjet,,,,,,,,,,,,,,,,,need_creation
,5744338,Imp Multifuncional HP Smart Tank 580,Hp,1F3Y2A#AKH,133.68,20,Impresoras,Multifuncionales Inkjet,,,,,,,,,,,,,,,,,need_creation
,5744341,Imp Multifuncional HP Smart Tank 720,Hp,6UU46A#AKH,156.09,50,Impresoras,Multifuncionales Inkjet,,,,,,,,,,,,,,,,,need_creation
,5744342,Imp Multifuncional HP Smart Tank 750,Hp,6UU47A#AKH,186.36,16,Impresoras,Multifuncionales Inkjet,,,,,,,,,,,,,,,,,need_creation
,5744808,Toner HP 827A Negro LaserJet,Hp,CF300A,124.82,1,Suministros y Medios,Suministros Láser,,,,,,,,,,,,265402,,135211,,147092,need_creation
,5748748,TONER T10 YELLOW,Canon,4563C001,140.28,4,Suministros y Medios,Suministros Láser,,,,,,,,,,,,260620,,139990,,150245,need_creation
,5748750,TONER T10 CYAN,Canon,4565C001,134.88,5,Suministros y Medios,Suministros Láser,,,,,,,,,,,,260618,,149800,,153096,need_creation
,5748751,TONER T10 BLACK,Canon,4566C001,70.02,7,Suministros y Medios,Suministros Láser,,,,,,,,,,,,260617,,79900,,83960,need_creation
,5749934,TC22/TC27 TEMPERED GLASS SCREEN PROTECTO,Zebra,SG-TC2L-SCRNPT1-01,17.21,20,Productos POS/AIDC/Código de Barras,Accesorios para Terminales Móviles AIDC,,,,,,,,,,,,,,,,,need_creation
,5750493,ULTRACHROME XD3 PHOTO BLACK CART 700ML,Epson,T50L120,239.41,3,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,259952,,262502,,278369,need_creation
,5750494,ULTRACHROME XD3 CYAN CART 700ML,Epson,T50L220,239.41,1,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,259956,,262502,,278369,need_creation
,5750916,ULTRACHROME XD3 YELLOW CART 700ML,Epson,T50L420,239.41,2,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,259954,,262502,,278369,need_creation
,5753871,4K 60Hz HDMI over Fiber Extender Kit,Startech.Com,ST121HD20FXA2,740.16,1,Dispositivos de Entrada/Salida,Conmutadores y Extensores Serial/Paralel,,,,,,,,,,,,,,,,,need_creation
,5753872,16-Port Industrial USB 3.0 Hub/Switch,Startech.Com,5G16AINDS-USB-A-HUB,355.91,2,Dispositivos de Entrada/Salida,Dispositivos de Conectividad USB,,,,,,,,,,,,,,,,,need_creation
,5755948,CLR LASER JT ENT MULTIFUNCIONAL,Hp,6QP98A,1551.6,1,Impresoras,Multifuncionales Láser Color,,,,,,,,,,,,223060,,1836840,,1836840,need_creation
,5762939,THINKSYSTEM 2.5 5400 PRO 480GB 6GB HS SS,Lenovo,4XB7A82259,663.0,5,Dispositivos de Almacenamiento,Discos de Estado Sólido SATA (SSD),,,,,,,,,,,,220054,,721955,,732324,need_creation
,5825211,LA CX 50 GEN2 SET,Poly,R9861622NAB2,2776.1,2,Comunicaciones,Teléfonos IP Inalámbricos,,,,,,,,,,,,,,,,,need_creation
,5830318,WORKFORCE PRO C5890 PRINTER LATIN,Epson,C11CK23301,434.82,28,Impresoras,Multifuncionales Inkjet,,,,,,,,,,,,238844,,474541,,508433,need_creation
,5852356,MC-G04 Maintenance Cartridge,Canon,5813C001,9.32,101,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,,,,,,need_creation
,5862576,EDA52 EDA56 Wi-Fi 6 EDA57 Quad battery c,Honeywell,EDA52-QBC-1,302.98,5,Productos POS/AIDC/Código de Barras,Accesorios para Terminales Móviles AIDC,,,,,,,,,,,,,,,,,need_creation
,5862817,HPE ANW 6200F 24G CL4 4SFP+370W Switch,Hewlett Packard Enterprise,JL725B,2913.6,11,Dispositivos de Red,Switches Estaqueables,,,,,,,,,,,,389931,,3213900,,3278445,need_creation
,5864705,GPR 58 Drum Unit Black,Canon,2186C003,179.49,1,Suministros y Medios,Suministros Láser,,,,,,,,,,,,,,,,,need_creation
,5874490,HP KIT PRELUDE 15 BOOM MIC MOUSE 200,Hp,7S4S5LA,31.51,4,Dispositivos de Entrada,Mouse,,,,,,,,,,,,,,,,,need_creation
,5881463,ADAPTADOR SSD 25 A 35,Crucial,CTSSDBRKT35R,7.83,74,Suministros y Medios,Etiquetas Código de Barra para Cartuchos,,,,,,,,,,,,,,,,,need_creation
,5887255,HP Clr LaserJet Storage Stand,Hp,6QN55A,322.79,1,Impresoras,Muebles para Impresora/Plotter,,,,,,,,,,,,,,,,,need_creation
,5891818,HPE DL3X0 GEN11 1U STND HEAT SINK KIT,Hewlett Packard Enterprise,P48904-B21,136.0,7,Computadores Servidores y Notebooks,Componentes Terminales,,,,,,,,,,,,,,,,,need_creation
,5893153,KITDSPLY MNTPOLY STUDIO X50,Poly,875M2AA,187.04,3,Comunicaciones,Componentes Sistemas de Videoconferencia,,,,,,,,,,,,,,,,,need_creation
,5901282,Tinta Cyan para Discproducer PP-100II/ii,Epson,C13S020688,29.16,16,Suministros y Medios,Suministros Inyección de Tinta,,,,,,,,,,,,,,,,,need_creation
