pcf_id,ingram_part,description,vendor_name,vendor_part,customer_price,available_qty,category,subcategory,solotodo_id,pcf_price,min_price,mode_price,mean_price
,5723334,HP 230A Mgn LaserJet Toner Cartridge,Hp,W2303A,107.34,33,Suministros y Medios,Suministros Láser,260079,,121706,,138727
,5723355,HP 230X Mgn LaserJet Toner Cartridge,Hp,W2303X,206.4,79,Suministros y Medios,Suministros Láser,260156,,232323,,246411
,5735142,CARTRIDGE 054 CYAN,Canon,3023C001,52.98,2,Suministros y Medios,Suministros Láser,260630,,63746,,69138
,5735143,CABEZAL DE IMPRESION PF-08,Canon,5706C003,188.57,3,Suministros y Medios,Suministros Inyección de Tinta,,,,,
,5735558,Slot in WiFi 6 0 BlueTooth 5 0 module,Viewsonic,VB-WIFI-004,25.16,40,Dispositivos de Red,Tarjetas de Red inalámbricas,,,,,
,5737290,HPE ARUBA NETWORKING AP-503-RW AP,Hewlett Packard Enterprise,R8M98A,193.28,10,Dispositivos de Red,Access Points (AP) inalámbricos,400144,,,,
,5737439,Toner HP 213A Original LaserJet Cyan,Hp,W2131A,169.9,41,Suministros y Medios,Suministros Láser,260277,,195122,,205175
,5737442,Toner HP 213A Original LaserJet Amarillo,Hp,W2132A,169.86,46,Suministros y Medios,Suministros Láser,260274,,195122,,205504
,5737444,Toner HP 213A Original LJet Magenta,Hp,W2133A,169.88,43,Suministros y Medios,Suministros Láser,260275,,12350,,189112
,5737466,Toner HP 213A Original LaserJet Negro,Hp,W2130A,120.12,85,Suministros y Medios,Suministros Láser,260276,,121706,,134788
,5744338,Imp Multifuncional HP Smart Tank 580,Hp,1F3Y2A#AKH,123.16,14,Impresoras,Multifuncionales Inkjet,,,,,
,5744342,Imp Multifuncional HP Smart Tank 750,Hp,6UU47A#AKH,176.92,12,Impresoras,Multifuncionales Inkjet,,,,,
,5749921,TC27 WWAN 5G WIFI 6 SE4710 6IN DISPLAY B,Zebra,WCMTB-T27B6ABC2-A6,628.23,138,Productos POS/AIDC/Código de Barras,Terminales de Datos Portátiles,,,,,
,5749934,TC22/TC27 TEMPERED GLASS SCREEN PROTECTO,Zebra,SG-TC2L-SCRNPT1-01,17.21,7,Productos POS/AIDC/Código de Barras,Accesorios para Terminales Móviles AIDC,,,,,
,5753872,16-Port Industrial USB 3.0 Hub/Switch,Startech.Com,5G16AINDS-USB-A-HUB,297.95,2,Dispositivos de Entrada/Salida,Dispositivos de Conectividad USB,,,,,
,5785893,POWERLITE L210SF PROJECTOR,Epson,V11HA75020,1830.7,1,Dispositivos Audio/Video,Proyectores LCD,271090,,2292330,,2292330
,5785897,DELL ECOLOOP PRO SLIM BACKPACK 15,Dell,DELL-CP5724S,28.08,197,Computadores Servidores y Notebooks,Bolsos y Mochilas p/Notebooks,,,,,
,5825211,LA CX 50 GEN2 SET,Poly,R9861622NAB2,2776.1,1,Comunicaciones,Teléfonos IP Inalámbricos,,,,,
,5852356,MC-G04 Maintenance Cartridge,Canon,5813C001,9.24,34,Suministros y Medios,Suministros Inyección de Tinta,400590,,12584,,12584
,5862817,HPE ANW 6200F 24G CL4 4SFP+370W Switch,Hewlett Packard Enterprise,JL725B,2913.6,5,Dispositivos de Red,Switches inalámbricos,389931,,3389900,,3549969
,5874490,HP KIT PRELUDE 15 BOOM MIC MOUSE 200,Hp,7S4S5LA,31.51,4,Dispositivos de Entrada,Mouse,,,,,
,5881463,ADAPTADOR SSD 25 A 35,Crucial,CTSSDBRKT35R,6.79,71,Suministros y Medios,Etiquetas Código de Barra para Cartuchos,,,,,
,5883445,Monitor touch 55 TR3DK 4k android,Lg,55TR3DK,567.3,2,Pantallas,Pantallas Comerciales LCD/LED,,,,,
,5892780,16IN MACBOOK PRO PRIVACY SCREEN ANTI-GLA,Startech.Com,16M21-PRIVACY-SCREEN,63.17,4,Pantallas,Filtros Anti-reflejo para Monitores,,,,,
,5892781,14IN MACBOOK PRO PRIVACY SCREEN ANTI-GLA,Startech.Com,14M21-PRIVACY-SCREEN,52.29,30,Pantallas,Filtros Anti-reflejo para Monitores,,,,,
,5892809,Filtro de Privacidad 156 para Portatil,Startech.Com,156L-PRIVACY-SCREEN,49.55,30,Computadores Servidores y Notebooks,Accesorios de Notebooks en kit,,,,,
,5892811,Filtro de Privacidad 22 para Monitor,Startech.Com,2269-PRIVACY-SCREEN,93.13,10,Pantallas,Filtros Anti-reflejo para Monitores,,,,,
,5893153,KITDSPLY MNTPOLY STUDIO X50,Poly,875M2AA,187.04,3,Comunicaciones,Componentes Sistemas de Videoconferencia,,,,,
,5901486,Epson Disc producer Ink Cartridge Black,Epson,C13S020693,27.67,9,Suministros y Medios,Suministros Inyección de Tinta,368686,,32834,,35172
,5909123,SCANNER KIT HH492 WIRELESS 2D BLK,Honeywell,HH492-R1-1USB-5,118.73,14,Productos POS/AIDC/Código de Barras,Escáners Portátiles (handheld),,,,,
,5909613,Ink Tank 130 ml PFI-121 Magenta,Canon,6267C001,63.62,4,Suministros y Medios,Suministros para Plotters,260348,,76304,,82651
,5909614,TINTA 55ML PFI-031 MAGENTA,Canon,6265C001,35.72,5,Suministros y Medios,Suministros para Plotters,260925,,43460,,52548
,5909615,Tanque de tinta 300 ml PFI-321 Magenta,Canon,6269C001,108.29,2,Suministros y Medios,Suministros para Plotters,278672,,129434,,133000
,5915075,Tinta HP DesignJet Plotter 300-ml Negro,Hp,498N8A,157.41,99,Suministros y Medios,Suministros Inyección de Tinta,261554,,180839,,199555
,5915079,Tinta HP DesignJet Plotter 300-ml Cyan,Hp,676M6A,157.29,19,Suministros y Medios,Suministros Inyección de Tinta,259861,,180703,,201918
,5915080,Tinta HP DesignJet Plotter 300-ml Magent,Hp,676M7A,157.33,35,Suministros y Medios,Suministros Inyección de Tinta,262912,,180748,191900,203329
,5915081,Tinta HP DesignJet Plotter 300-ml Amaril,Hp,676M8A,156.43,33,Suministros y Medios,Suministros Inyección de Tinta,259860,,179714,,201589
,5916676,AC POWER SUPPLY 12V 30W 1 35 X 3 5MM VI,Honeywell,3011-8248-001,59.69,8,Componentes de Sistema,Fuentes de Poder para Computadores Espec,,,,,
,5923756,POLY STUDIO X70 OPTIONAL TABLE STAND,Poly,875L3AA,107.0,4,Comunicaciones,Componentes Sistemas de Videoconferencia,,,,,
,5930789,Cable de 1m Thunderbolt 4 - 40Gb - 100W,Startech.Com,TBLT4MM1M,60.7,10,Cables,Cables y Adaptadores USB,,,,,
