pcf_id,ingram_part,description,vendor_name,vendor_part,customer_price,available_qty,category,subcategory,api_status,mayorista,lista,stock_pcf,stock_raw,nombre_pcf,precio_normal,precio_oferta,ficha_vacia,stock_detail,error,catalog_provider,solotodo_id,pcf_price,min_price,mode_price,mean_price
56077,6022600,Multifuncional DesignJet T850 36â#,Hp,2Y9H2A,5386.3,7,Impresoras,Plotters color,ok,True,0,7,7,"Plotter 36"" DesignJet T850 WiFi / Ethernet / USB con porta rollo",0,0,False,{},,ingram,228838,,5109990,,6773366
54906,6022598,IMPRESORA:LA DesignJet T850 36â#,Hp,2Y9H0A,2371.7,7,Impresoras,Impresoras de Recibos Térmicas,ok,True,0,7,7,"Plotter 36"" DesignJet T850 WiFi / Ethernet / USB con porta rollo",0,0,False,{},,ingram,228395,,2766575,,3394534
56711,6031630,HPE ANW 6200F 48G C4 4SFP 370W SW,Hewlett Packard Enterprise,JL727B,4436.6,5,Dispositivos de Red,Switches Estaqueables,ok,True,0,5,5,Switch Aruba CX 6200 PoE 48 puertos 10/100/1000 Mbps,0,0,False,{},,ingram,395839,,5176784,,5176784
56584,5999349,PIXMA G4170 BLACK WIFI USB ADF FAX,Canon,5807C005,167.53,30,Impresoras,Impresoras de Inyección de Tinta,ok,True,0,50,+50,Multifuncional Tinta Continua Pixma G4170  WiFi / ADF ,0,0,False,{},,ingram,224614,,162990,199990,201601
56301,6152571,QUBE 500 FLATPACK MACARON EDITION,Cooler Master,Q500-DGNN-S00,76.73,12,Servicios y Garantías,Servicios de Implementación/Soporte,ok,True,0,12,12,QUBE 500 FLATPACK MACARON EDITION,0,0,False,{},,ingram,228477,,96744,,101243
54905,6149339,Impresora Todo-en-Uno OfficeJet Pro 9130,Hp,404K5C,216.12,19,Impresoras,Multifuncionales Inkjet,ok,True,0,16,16,Multifuncional Tinta Todo-en-Uno HP OfficeJet Pro 9130 Ethernet/Wi-Fi/USB,0,0,False,{},,ingram,256548,,251133,,277621
56098,6247006,HP Zbook Power G11-CU9-16GB-1TB-V6GB-W11,Hp,A31DRLT#ABM,2308.5,2,Computadores Servidores y Notebooks,Notebooks,ok,True,0,2,2,"Notebook Zbook Power G11 Intel Ultra 9-185H 16GB RAM 1TB SSD 16"" RTX A1000 6GB Windows 11 Pro A31DRLT#ABM",0,0,False,{},,ingram,,,,,
55847,6235416,B3404CVF-Q50063X I7-1355U 16G 1T 14 W11P,Asus,90NX06Z1-M002K0,1061.5,9,Computadores Servidores y Notebooks,Notebooks,ok,True,0,8,8,"Notebook ExpertBook B3 14"" Intel Core i7-1355U 16GB RAM 1TB SSD Windows 11 Pro B3404CVF-Q50063X ",0,0,False,{},,ingram,253259,,1099990,,1306553
52317,6328374,Dell Wireless TECLADO KB500 - ES,Dell,KB500-BK-R-LTN,22.0,51,Comunicaciones,Teclados área de Movilidad,ok,True,0,30,+30,Teclado inalámbrico KB500 - Español,0,0,False,{},,ingram,,,,,
56082,6371125,HP DesignJet T650 36-in Printer,Hp,5HB10D,1729.5,45,Impresoras,Plotters color,ok,True,0,30,+30,"Plotter 36"" DesignJet T650 WiFi Direct / Ethernet / USB",0,0,False,{},,ingram,273154,,1599990,,2310467
