pcf_id,ingram_part,description,vendor_name,vendor_part,customer_price,available_qty,category,subcategory,api_status,mayorista,lista,stock_pcf,stock_raw,nombre_pcf,precio_normal,precio_oferta,ficha_vacia,stock_detail,error,catalog_provider
39128,nan,"HP 87X - Alto rendimiento - negro - original - LaserJet - cartucho de tóner (CF287X) - para LaserJet Enterprise M506, MFP M527; LaserJet Enterprise Flow MFP M527; LaserJet Pro M501",nan,CF287X,357.6,5,nan,Physical,ok,True,1,3,3,Toner Original HP 87X Negro,0,0,False,{},,ingram
24856,nan,"HP 30A - Negro - original - LaserJet - cartucho de toner (CF230A) - para LaserJet Pro M203dn, M203dw, M227fdw, MFP M227fdn, MFP M227fdw, MFP M227sdn",nan,CF230A,75.7,20,nan,Physical,ok,True,1,100,+100,Toner Original HP 30A LaserJet Negro,0,0,False,{},,ingram
26951,nan,"HP 32A - Negro - original - kit de tambor - para LaserJet Pro M118, M203, MFP M148, MFP M227",nan,CF232A,110.6,20,nan,Physical,ok,True,1,30,+30,Tambor original HP 32A ,0,0,False,{},,ingram
24857,nan,"HP 79A - Negro - original - LaserJet - cartucho de tóner (CF279A) - para LaserJet Pro M12a, M12w, MFP M26a, MFP M26nw",nan,CF279A,73.7,20,nan,Physical,ok,True,1,20,20,Toner Original HP 79A Negro ,0,0,False,{},,
29932,nan,"HP 48a - Negro - original - LaserJet - cartucho de tóner (CF248A) - para LaserJet Pro M15a, MFP M28a, MFP M28w, MFP M31w",nan,CF248A,56.3,20,nan,Physical,ok,True,1,50,+50,Toner Original HP 48A LaserJet Negro  ,0,0,False,{},,ingram
46626,nan,"HP 414A - Cián - original - LaserJet - cartucho de tóner (W2021A) - para Color LaserJet Enterprise M455, MFP M480; Color LaserJet Pro M454, M479, MFP M479",nan,W2021A,118.2,20,nan,Physical,ok,True,1,20,20,Toner Original HP 414A Cyan (W2021A),0,0,False,{},,ingram
47090,nan,"HP 414A - Magenta - original - LaserJet - cartucho de tóner (W2023A) - para Color LaserJet Enterprise M455, MFP M480; Color LaserJet Pro M454, M479, MFP M479",nan,W2023A,118.2,20,nan,Physical,ok,True,1,20,20,Toner Original HP 414A Magenta (W2023A),0,0,False,{},,ingram
56783,nan,Motorola Moto G86 - Smartphone - Android - 256 GB - Green - Touch,nan,PB8W0004CL,230.8,20,nan,Physical,ok,True,1,2,2,Celular Moto G86 Power 256GB/8GB 5G Verde Liberado,0,0,False,{},,ingram
51479,nan,Intel Core i5 i5-14400F - 2.5 GHz - 10 núcleos - 16 hilos - 20 MB caché - FCLGA1700 Socket - Caja,nan,BX8071514400F,191.0,20,nan,Physical,ok,True,1,19,19,CPU Intel Core i5-14400F (s1700),0,0,False,{},,
55259,nan,Intel - Core Ultra 5 245KF - 4.2 GHz - 14-core - LGA1851,nan,BX80768245KF,217.7,20,nan,Physical,ok,True,1,1,1,CPU Intel Core Ultra 5-245KF (s1851),0,0,False,{},,ingram
50505,nan,Intel Core i5 i5-14600K - 3.5 GHz - 14 núcleos - 20 hilos - 24 MB caché - FCLGA1700 Socket - Caja,nan,BX8071514600K,275.1,20,nan,Physical,ok,True,1,20,20,CPU Intel Core i5-14600K (s1700),0,0,False,{},,ingram
50506,nan,Intel Core i5 i5-14600KF - 3.5 GHz - 14 núcleos - 20 hilos - 24 MB caché - FCLGA1700 Socket - Caja,nan,BX8071514600KF,260.7,20,nan,Physical,ok,True,1,20,20,CPU Intel Core i5-14600KF (s1700),0,0,False,{},,ingram
55024,nan,Intel Core i7 12700 - 2.1 GHz - 12 núcleos - 20 hilos - 25 MB caché - LGA1700 Socket - Caja,nan,BX8071512700,326.7,20,nan,Physical,ok,True,1,100,+100,CPU Intel Core i7-12700 (s1700),0,0,False,{},,ingram
52802,nan,AMD - Ryzen 9 9900X - 12 Core 5.6GH 76MB AM5 Radeon,nan,100-100000662WOF,413.6,15,nan,Physical,ok,True,1,20,20,CPU AMD Ryzen 9 9900X (AM5),0,0,False,{},,
56560,nan,HPE Flex Slot Platinum - Fuente de alimentación - conectable en caliente (módulo de inserción) - Flex Slot - 80 PLUS Platinum - CA 230 V - 800 vatios,nan,P38995-B21,292.0,2,nan,Physical,ok,True,1,12,12,Fuente de poder 800W FS Plat Ht Plg LH Pwr Sply Kit,0,0,False,{},,ingram
